label,path,target_voxels,pockets,driftcheck,planned_voxels,placed_voxels,samples,frame_p50_ms,frame_p99_ms,frame_mean_ms,submit_p50_ms,submit_p99_ms,submit_mean_ms,pump_p50_ms,pump_p99_ms,pump_mean_ms,live_slots_mean,live_slots_min,live_slots_max,dispatch_cells_mean,active_tiles_mean,voxel_writes,ops_total,slots_ever,dense_region_cells,dense_region_dims,readback_errors,stale_ops,nonresident_ops
dense_v32000,dense,32000,1,0,32768,32768,180,20.4073,41.2416,21.0955,0.0004,2.1133,0.6355,0.0006,21.9819,4.5453,65420,61975,65536,2097152,0,1844550,1025267,65648,2097152,128x128x128,0,0,0
dense_v32000_REPEAT_driftcheck,dense,32000,1,1,32768,32768,180,20.2106,41.6226,20.3732,0.0005,2.1553,0.6382,0.0006,22.1575,4.5392,65432,62325,65536,2097152,0,1849192,1028519,65547,2097152,128x128x128,0,0,0
tiled_v32000,tiled,32000,1,0,32768,32768,180,19.4053,29.2268,16.3142,0.0004,3.9235,1.3214,0.0006,22.4705,4.5820,65536,65536,65536,7435059,226,1793496,1036983,65538,0,tiled,0,0,0
tiled_v32000_REPEAT_driftcheck,tiled,32000,1,1,32768,32768,180,19.4234,28.6041,16.2705,0.0004,3.9832,1.3259,0.0005,22.2113,4.5787,65534,65474,65536,7435059,226,1800030,1039947,65580,0,tiled,0,0,0
tiled_s8_v8000,tiled,8000,8,0,8000,8000,180,9.4122,31.5373,13.6988,0.0004,2.6398,0.8184,0.0005,6.2827,0.8735,21312,19883,21408,8312149,253,303834,190811,21408,0,tiled,0,0,0
tiled_s8_v8000_REPEAT_driftcheck,tiled,8000,8,1,8000,8000,180,9.4594,31.3185,13.7094,0.0004,2.5987,0.8179,0.0006,6.1333,0.8758,21311,19824,21412,8312149,253,302696,190151,21412,0,tiled,0,0,0
