label,path,target_voxels,pockets,driftcheck,planned_voxels,placed_voxels,samples,frame_p50_ms,frame_p99_ms,frame_mean_ms,submit_p50_ms,submit_p99_ms,submit_mean_ms,pump_p50_ms,pump_p99_ms,pump_mean_ms,live_slots_mean,live_slots_min,live_slots_max,dispatch_cells_mean,active_tiles_mean,voxel_writes,ops_total,slots_ever,dense_region_cells,dense_region_dims,readback_errors,stale_ops,nonresident_ops
dense_v500,dense,500,1,0,512,512,180,7.8095,34.6013,13.9166,0.0005,0.1396,0.0377,0.0006,0.5210,0.0874,1535,1534,1536,524288,0,27274,17639,1536,524288,64x128x64,0,0,0
tiled_v500,tiled,500,1,0,512,512,180,8.2939,32.2848,13.6723,0.0004,1.9377,0.6927,0.0006,0.5669,0.0908,1535,1532,1536,7330747,223,27232,17609,1536,0,tiled,0,0,0
dense_v2000,dense,2000,1,0,2028,2028,180,7.9909,31.1846,13.9328,0.0004,0.3113,0.0765,0.0006,1.8417,0.3060,6068,5762,6084,524288,0,111152,68357,6084,524288,64x128x64,0,0,0
tiled_v2000,tiled,2000,1,0,2028,2028,180,8.5834,27.2030,13.6617,0.0005,2.2277,0.7349,0.0007,2.3266,0.3423,6069,5794,6084,7405568,226,113130,69440,6084,0,tiled,0,0,0
dense_v8000,dense,8000,1,0,8000,8000,180,9.1056,40.9128,18.0811,0.0004,0.9078,0.2146,0.0006,6.7120,1.1689,23421,19645,23744,2097152,0,451866,263186,23744,2097152,128x128x128,0,0,0
tiled_v8000,tiled,8000,1,0,8000,8000,180,9.2019,27.9937,14.3217,0.0004,2.7768,0.8759,0.0006,7.0828,1.2225,23453,19779,23774,7405568,226,449872,262429,23774,0,tiled,0,0,0
dense_v32000,dense,32000,1,0,32768,32768,180,22.5140,46.5066,22.7777,0.0005,2.4264,0.7270,0.0007,24.2901,4.8877,65433,62399,65536,2097152,0,1848166,1028256,65565,2097152,128x128x128,0,0,0
tiled_v32000,tiled,32000,1,0,32768,32768,180,34.3090,64.5113,33.9052,0.0007,9.4296,2.5764,0.0008,46.6822,9.3618,65454,62019,65536,7434331,226,1859370,1033190,65586,0,tiled,0,0,0
tiled_s1_v8000,tiled,8000,1,0,8000,8000,180,9.7031,45.1978,19.9890,0.0005,2.5651,0.8532,0.0006,7.1504,1.2494,23361,19593,23682,7405568,226,453844,264221,23682,0,tiled,0,0,0
tiled_s8_v8000,tiled,8000,8,0,8000,8000,180,11.9877,39.6498,17.6983,0.0004,2.6787,0.8257,0.0006,6.5808,0.9221,21311,19886,21407,8319795,253,304602,191196,21407,0,tiled,0,0,0
tiled_s64_v8000,tiled,8000,64,0,8000,8000,180,9.1069,43.2182,18.9122,0.0004,3.3563,0.8969,0.0006,5.8170,0.8749,21055,20609,21079,13531545,412,258832,189428,21079,0,tiled,0,13578,0
tiled_s512_v8000,tiled,8000,512,0,8192,8192,180,9.2987,35.5407,16.8528,0.0005,3.5611,1.0376,0.0006,3.0409,0.6439,14551,14551,14551,16777216,512,140404,166648,14551,0,tiled,0,68163,0
dense_v500_REPEAT_driftcheck,dense,500,1,1,512,512,180,7.7968,32.3031,13.4063,0.0003,0.1388,0.0372,0.0005,0.5289,0.0853,1535,1534,1536,524288,0,27074,17534,1536,524288,64x128x64,0,0,0
tiled_v500_REPEAT_driftcheck,tiled,500,1,1,512,512,180,8.3264,30.4985,12.9962,0.0004,1.8421,0.6800,0.0005,0.5626,0.0911,1535,1533,1536,7328563,223,27342,17657,1536,0,tiled,0,0,0
dense_v2000_REPEAT_driftcheck,dense,2000,1,1,2028,2028,180,7.9047,31.2310,13.8466,0.0004,0.3092,0.0736,0.0005,1.9359,0.3075,6071,5815,6084,524288,0,110610,68221,6084,524288,64x128x64,0,0,0
tiled_v2000_REPEAT_driftcheck,tiled,2000,1,1,2028,2028,180,8.4936,25.1777,13.0217,0.0005,2.0821,0.7118,0.0005,2.2237,0.3385,6071,5810,6084,7405568,226,109944,67849,6084,0,tiled,0,0,0
dense_v8000_REPEAT_driftcheck,dense,8000,1,1,8000,8000,180,9.0981,39.7354,17.7623,0.0004,0.8658,0.2081,0.0005,6.6579,1.1521,23419,19583,23750,2097152,0,449606,262105,23750,2097152,128x128x128,0,0,0
tiled_v8000_REPEAT_driftcheck,tiled,8000,1,1,8000,8000,180,8.9094,25.8075,13.7467,0.0004,2.4598,0.8386,0.0007,6.7213,1.1684,23405,19711,23719,7405568,226,448348,261661,23719,0,tiled,0,0,0
